"DTI_CL_INDICADOR","Indicador","DTI_CL_ANO","Año","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","DTI_CL_CISE","CISE","Value","Flag Codes","Flags"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","ICSE93_T","Total",464240.84375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","ICSE93_2","Empleadores",1114480.5,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",281999.78125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",474621.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",676748.1875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",183438.625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","M","Hombres","ICSE93_T","Total",538490.125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","F","Mujeres","ICSE93_T","Total",361915.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","ICSE93_T","Total",378397.46875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","ICSE93_2","Empleadores",596673.5625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",215876.953125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",386859.59375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",662630.625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","ICSE93_T","Total",443238.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","ICSE93_3","Trabajadores por cuenta propia",253987.96875,,
